O1, U2006, P679,5, 2013-08-09 00:01:02
O2, U1284, P4634,10, 2013-08-09 00:01:03
O3, U2038, P2340,6, 2013-08-09 00:01:03
O4, U1879, P2277,9, 2013-08-09 00:01:04
O5, U922, P4803,2, 2013-08-09 00:01:04
O6, U2924, P2756,1, 2013-08-09 00:01:04
O7, U4049, P950,11, 2013-08-09 00:01:05
O8, U1675, P2377,17, 2013-08-09 00:01:05
O9, U3200, P2391,7, 2013-08-09 00:01:05
O10, U3752, P3481,7, 2013-08-09 00:01:06
O11, U4123, P1154,11, 2013-08-09 00:01:07
O12, U956, P430,16, 2013-08-09 00:01:09
O13, U4786, P1795,14, 2013-08-09 00:01:10
O14, U2539, P4308,6, 2013-08-09 00:01:10
O15, U1388, P4912,6, 2013-08-09 00:01:10
O16, U2134, P3252,13, 2013-08-09 00:01:11
O17, U4058, P3528,16, 2013-08-09 00:01:11
O18, U238, P567,9, 2013-08-09 00:01:12
O19, U1220, P328,14, 2013-08-09 00:01:12
O20, U2216, P3055,10, 2013-08-09 00:01:12
O21, U656, P3256,16, 2013-08-09 00:01:12
O22, U4680, P2730,5, 2013-08-09 00:01:12
O23, U4517, P4920,18, 2013-08-09 00:01:13
O24, U1538, P3109,4, 2013-08-09 00:01:13
O25, U1740, P1496,7, 2013-08-09 00:01:14
O26, U1336, P285,10, 2013-08-09 00:01:14
O27, U2607, P1057,17, 2013-08-09 00:01:16
O28, U3630, P4649,20, 2013-08-09 00:01:17
O29, U2763, P3849,3, 2013-08-09 00:01:18
O30, U479, P4692,1, 2013-08-09 00:01:18
O31, U643, P2546,15, 2013-08-09 00:01:18
O32, U1078, P1866,5, 2013-08-09 00:01:19
O33, U2552, P1692,9, 2013-08-09 00:01:20
O34, U266, P2592,14, 2013-08-09 00:01:20
O35, U3688, P2497,2, 2013-08-09 00:01:20
O36, U2933, P3466,17, 2013-08-09 00:01:20
O37, U472, P4838,1, 2013-08-09 00:01:20
O38, U845, P4567,9, 2013-08-09 00:01:21
O39, U3132, P2007,15, 2013-08-09 00:01:21
O40, U3896, P1900,16, 2013-08-09 00:01:22
O41, U541, P4001,1, 2013-08-09 00:01:22
O42, U4311, P887,3, 2013-08-09 00:01:24
O43, U2244, P656,19, 2013-08-09 00:01:26
O44, U549, P3749,15, 2013-08-09 00:01:27
O45, U239, P2320,14, 2013-08-09 00:01:27
O46, U816, P4896,9, 2013-08-09 00:01:27
